0.667,2,亞特蘭大 第一 銀行,銀行
1.0,3,樂隊 喇叭褲,現在 播放 喇叭褲
0.6,3,舉起 手 馬上 趴在 地上,手 舉高 趴在 地上
0.6,3,我要 你們 趴在 地上 趴下,給我 趴在 地上 趴下
1.0,3,趴下 別動,趴下 不准 動
1.5,3,走走 走,快
1.25,5,快 走 快 走,快點
1.333,4,所有人 不能 動,通通 不准 動
0.75,3,駕駛 一輛 紅色 速霸路,駕駛 紅色 速霸陸
1.667,5,極 盜車 神,玩命 再劫
2.0,4,海利 大廈,希利 大樓
1.0,11,我 在 這裡 你 遲 了 我 又 在 等 你,我 到 了 你 遲到 又 是 我 等 你
1.5,3,向 右,右邊
0.0,0,快點,快點
2.0,2,的士,計程車
1.5,6,很 好 加油 女孩,帥 喔
1.0,3,整個 洛塔 靈魂,靈魂 紛飛
0.8,4,你 知道 的 親愛 的,超棒 親愛 的
2.0,2,嘿,豬頭
1.2,6,是 的 你 是 的,沒錯
1.0,2,辛烷 咖啡吧,活力 咖啡吧
0.125,1,我 根本 不 喜歡 咖啡 下 一位 客人,我 根本 不 喜歡 咖啡 下 一位
0.333,1,下 一位 客人,下 一位
2.0,6,你 要 什麼,要點 餐 嗎
1.5,3,好好 好,要
0.2,1,我要 四杯 黑 咖啡 中杯,四杯 黑 咖啡 中杯
1.0,2,名字 寶貝,大名 寶貝
0.5,2,寶貝 寶貝,寶貝 心肝寶貝 的 寶貝
0.0,0,寶貝,寶貝
1.333,12,相信 跟 今天 在 桃樹 區劫案 有關 的 速霸路,這輛 速霸陸 應該 與 今天 桃樹 街 搶案 有關
0.0,0,哇哇 哇,哇哇 哇
1.0,7,他 將 穿過 這 條 罪惡 之河,祂 將 費力 通過 罪惡 之河
0.5,5,罪惡 是 你 的 敵人 當心 地獄 等 著 你,罪惡 是 你 的 敵人
1.5,12,罪惡 可以 被 清洗 如果 你 遇到 上帝,發現 上帝 就 能 洗刷 罪惡
0.8,4,別 逃避 你 的 罪惡,不要 逃避 你 的 罪
0.556,5,她 在 裡面 嗎 我 說 過 不在,她 在 裡面 嗎 我 跟 妳 說 沒有
0.833,5,現在 我 不能 見 你,我 現在 不能 跟 你 扯
1.5,3,向 右,右邊
1.667,5,別 遲到,要 準時 到
1.333,8,搶匪 至少 劫走 了 二十萬 以上,搶匪 搶走了 超過 萬美元
2.0,4,歐克 咖啡吧,辛烷 咖啡館
1.25,5,他 分得 多少,他 怎麼 搞 的
0.0,0,寶貝 嗎,寶貝 嗎
0.5,2,平分 跟 大家 一樣,跟 大家 一樣 平分
1.286,9,不行 博士 他 是不是 遲鈍 兒,博士 我 是 說 他 智障 嗎
1.143,8,遲鈍 代表 慢 他 慢 嗎 不,智障 代表 遲緩 他 遲緩 嗎 沒有
1.167,7,那 我 不 覺得 他 遲鈍,那 他 就 不是 智障
1.091,12,他 是 好孩子 兼 惡魔 車手 你 還 想 知道 什麼,他 是 技術 一流 的 年輕 車手 其他 還想 知道 什麼
1.0,7,你 不 覺得 他 有 問題 嗎,你 覺得 他 屁 都 不吭一聲
1.6,8,一句 話 都 不 說,沒 問題 嗎
2.0,6,沉默 沒 問題,沉默寡言 沒什麼 不好
0.8,8,你 知道 他們 稱 他 為 寶貝 的 原因 吧,你 知道 大家 為何 叫 他 寶貝 吧
1.143,8,還 在 等待 他 說 第一句 話,他 還沒開 口說 過 話
0.667,6,你 是 啞巴 嗎 寶貝 是 這個 原因 嗎,所以 你 啞巴 嗎 寶貝
0.0,0,你 是 啞巴 嗎,你 是 啞巴 嗎
0.0,0,不是,不是
0.2,1,那 你 在 聽 什麼,你 在 聽 什麼
0.857,6,音樂 對 了 你 告訴 他 寶貝,音樂 讓 他 見識一下 寶貝
2.0,2,沒事,沒關係
1.286,9,天 啊 格利 夫 放過 他 吧,拜託 小葛別 煩 他
1.429,10,你 不 可能 輕易 犯罪 對 吧,幹 這檔 事
1.5,6,如果 不是 小 罪犯,別想 不沾鍋
1.111,10,我 只是 想 知道 那 兩耳 之間,我 只 想 知道 他 腦袋 裡在 想 啥
0.5,1,除了 當然,除了
0.5,2,“ 埃及 雷鬼 ”,埃及 雷鬼
1.0,4,你 有 什麼 問題,你 有 毛病 啊
1.375,11,只是 覺得 他 以為 他 好 過 我們,我 覺得 他 自以 為 很 屌
1.333,12,他 要 坐在 車裡 保持 乾凈 而 我們 則,想 坐在 車上 一派 輕鬆
1.4,7,弄髒 自己,看著 我們 其他人 去 拚命
1.5,15,寶貝 終 有 一天 你 的 手 將 染上 血,總有一天 你 手上 也 會 沾滿 鮮血
1.333,12,到 時 你 將 發覺 水洗 也 洗 不脫,你 會 發現 怎麼 洗 都 洗不掉
1.4,14,冷靜 這 孩子 做 了 他 的 分內事 好 嗎,別 激動 這 小子 很 盡責
0.444,4,我 有 說 他 做 得 不好 嗎 沒有,我 有 說 他 表現 不好 嗎
0.5,3,我 想 他 是 一位 明星,我 覺得 他 是 明星
1.286,9,如果 他 不是 我會 擔保 他 嗎,不是 的話 要 我 保證 嗎
1.571,11,我 必須 向 你 致敬 圖騰 柱,我 不得不 給你 一個 讚 木頭人
1.4,7,你 一 是 個 硬漢,你 不是 酷到 不行
1.4,7,不然 就是 個 懦夫,就是 剉 到 漏 尿
0.75,3,到底 是 哪 一個,是 哪 一種
1.0,4,你 怎麼 看 寶貝,你 覺得 怎樣 寶貝
1.6,8,媽咪 和 爸爸 在 親密,狗男女 慾火焚身 了
1.5,3,夠 了,夠了
1.8,9,你們 在 哪 一層 出去,你 搭 到 幾樓
1.5,3,就 在,到
1.5,3,這 一層,這裡
1.25,5,好 了 大伙 們,各位
1.0,10,如果 沒 再 見到 我 那 是因為 我 死 了,要是 沒 再 看到 我 我 就是 掛了
1.286,9,告訴 我 今晚 的 事 朋友,跟 我 說 今晚 要 幹嘛 老哥
1.0,9,親愛 的 今晚 我們 在 酒神 吧 有 慶功宴,今晚 在 饗宴 餐廳 辦 慶功宴
1.222,11,那 是 全城 最好 的 喝酒 吃飯 的 地方,那 是 全市 最 高檔 的 餐廳 呢
1.5,6,我們 是 這 一層,到 了
1.273,14,先生 我們 的 口袋 空 了 就 會 來 找 你,拜 老大 我倆 沒錢 就 會 去 拜訪 你
0.833,5,寶貝 你 做 得 很 好,寶貝 你 表現 得 很棒
1.333,8,幫幫忙 下次 博士 打 給 你,幫個 忙 下次 博士 打電話 給你
1.667,5,別 聽 電話,不要 接
1.0,4,別 聽 他 說,少 聽 他 鬼扯
1.333,12,我 真的 很 不想 拿 寶貝 的 東西 但是,我 不 喜歡 跟 你 拿 錢
1.714,12,我們 很快 來到 那 一天,不過 你 把 錢 還清 的 日子
1.75,7,當 你 還清 債務,應該 不遠 了
1.167,7,再 做 一次 就 還清 了,再開 一次 我 就 收山
1.167,7,再 做 一次 就 互不 拖欠,再開 一次 我們 就 扯平
2.0,4,好 嗎,不賴 吧
1.5,15,我 本來 要 等到 互不 拖欠 那天 但是 算了,我 本來 想 等 事情 搞定 再說 管 他 的
0.8,4,這 是 給 你 的,這 送給 你
0.833,5,現在 給 我 你 的 手機,你 的 備用 手機 給我
0.429,3,我 很快 就 需要 你 開車,我 很快 就 需要 你 再尬 一次
1.5,3,隨傳隨到,隨時 待命
0.6,3,這是 我們 知道 的,我們 知道 的 情況 是
0.25,1,兩男一女 進入 銀行,兩男一女 進入 這家 銀行
1.375,11,與 當地 銀行 結案 相關 的 報道 繼續,本地 銀行 連環 劫案 不斷
1.25,5,穿著 黑色 西裝,身穿 黑色 商務 服裝
1.0,5,風衣 頭巾 和 墨鏡,風衣 蒙著 方巾 戴 墨鏡
0.333,2,他們 拔出 槍 喝令 所有人 趴下,他們 拔出 槍 命令 所有人 趴下
1.125,9,然後 取 走 收銀機 的 錢 聽 好,掃光 櫃台裡 的 錢 還有
0.5,4,他們 甚至 還 搶走 幾位 顧客 的 首飾,甚至 搶走 某些 顧客 的 首飾
0.5,2,你 醒 了 嗎,你 醒 著 嗎
1.462,19,他們 跑 出 銀行 上 了 一輛 賊車 司機 在 那裡 接 他們,他們 離開 銀行 跑 向 接應 的車 車手 將 他們 載 走
0.4,2,那 是 一輛 紅色 速霸路,那 是 一輛 紅色 速霸陸
0.25,1,你 餓 了 嗎,餓 了 嗎
1.333,4,一直 都 是,隨時 都 餓
0.0,0,沒 問題,沒 問題
1.5,6,塗到 邊緣,要 抹 得 滿滿的
0.6,3,是 一名 白人 少年,是 一名 年輕 白人 男性
1.2,6,他 的 身份 依然 不明,身分不明
1.0,9,警察 呼籲 任何 認得 他們 的 人 報警,警方 呼籲 認得 他 的 人 勇於 出面 檢舉
1.667,10,搜尋 嫌煩 還 在 進行 中,追捕 嫌犯 的 行動 持續 進行
1.5,15,警察 和 直升機 為了 追 賊車 而 翻轉 亞特蘭大,警用 直升機 在 亞特蘭大 和號 州際公路 上 追捕 該 車輛
1.25,5,錢 從 哪裡 來,錢 哪來 的
0.0,0,工作,工作
1.167,7,再 做 一次 就 結束 了,再開 一次 我 就 收山
1.6,8,你 不 屬於 那 世界,那 一行 不 適合 你
1.1,11,對不起 我 聽 不到 有 一條 香蕉 在 我 耳里,抱歉 聽 不到 我 耳朵 裡有 香蕉
0.75,3,你 聽到 我 說話,你 聽到 了
0.75,3,你 很 美麗,你 是 如此 美麗
1.571,11,他們 長得 太快 了 不是 嗎,他們 長 得 好 快 是 吧
0.667,8,你 我 是 同一 隊 沒什麼 比 我們 的 友誼 更 重要,你 我 是 一夥 的 我們 的 友誼 最 重要
0.8,4,這 對 你 行得通 嗎,你 還好 嗎
