坐了45块钱的出租车后,3
坐了4个小时的车,3
请坐,2
大海坐,0
坐一下,1
坐好了,1
坐定定,1
坐直了,1
坐稳了,1
坐過去,1
我坐在,1
你坐下,2
你坐好,2
你坐这,2
先坐下,2
去坐好,2
去坐着,2
坐上来,2
坐下来,2
坐在这,2
坐在這,2
坐在那,2
坐起来,2
坐这儿,2
坐这里,2
坐過去,2
快坐下,2
快请坐,2
我们坐,2
来坐吧,2
請坐下,2
请坐吧,2
过来坐,2
额请坐,2
坐飞机,3
可以坐12000人,5
你今晚6点左右能来小坐喝一杯吗,0
坐标轴99871,0
坐标对吗,0
是坐坏了,0
端坐英伦,0
算出坐标,0
菊花坐台,0
不用您坐,1
你坐一会,1
你坐楼上,1
保持坐姿,1
坐在床上,1
坐好各位,1
坐好戈顿,1
好好坐着,1
就坐在那,1
就坐这吧,1
并坐下来,1
我坐后面,1
我坐这儿,1
我坐那儿,1
有人坐吗,1
来坐吧坐,1
赶紧坐好,1
一坐下吧,2
一起坐下,2
上来坐吧,2
乖乖坐着,2
仰卧起坐,2
你坐在那,2
你坐这里,2
你坐那边,2
你想坐下,2
先坐一下,2
回來坐好,2
回去坐好,2
回去坐好,2
坐一下吧,2
坐上了马,2
坐下一会,2
坐下先生,2
坐下放松,2
坐下里奇,2
坐吧警探,2
坐在这儿,2
坐在这儿,2
坐在这里,2
坐在这里,2
坐在这里,2
坐在那儿,2
大家坐好,2
大家请坐,2
好了坐下,2
就坐这儿,2
快坐下來,2
我坐下来,2
我该坐哪,2
米琪坐下,2
让她坐下,2
请你坐下,2
过去坐下,2
这边请坐,2
进来坐吧,2
坐火车去,3
要坐飞机,3
谢谢乘坐,3
他坐过牢,9
坐两个月,9
我在坐牢,9
我坐过牢,9
立刻坐牢,9
還要坐牢,9
你给我坐好,0
出去坐坐嗯,0
出门坐摩的,0
第二个坐标,0
你坐在台上,1
你要坐后座,1
别坐轮椅了,1
只是坐在这,1
坐在刑椅上,1
坐在那别动,1
她坐在那里,1
如果你独坐,1
妳不該久坐,1
就静静坐着,1
想坐在這兒,1
我再坐会儿,1
我进去坐坐,1
戴维坐那边,1
而是坐輪椅,1
能坐直了吗,1
能坐这儿吗,1
能坐這兒嗎,1
行了都坐好,1
请大家坐稳,1
请安静坐好,1
但是坐下来,2
你坐下好吗,2
你就坐下吧,2
你想坐起来,2
你最好坐下,2
你能坐下么,2
你要坐下吗,2
你需要坐下,2
别紧张坐下,2
卡米尔坐下,2
咱们坐下来,2
在床上坐下,2
坐下来好吗,2
坐下等着吧,2
坐到船里去,2
她可以坐着,2
她让我坐着,2
妳給我坐下,2
对坐吧谢谢,2
我们坐下吗,2
我可以坐吗,2
来客厅坐吧,2
特梅坐过来,2
现在去坐着,2
能坐下来吗,2
要不要坐下,2
让她坐下来,2
请你先坐下,2
请坐下稍等,2
请问你坐下,2
